Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,25-34,262,262,NA,45552696
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,25-34,797,798,NA,45429181
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,35-44,753,753,NA,42738081
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,35-44,2313,2317,NA,43245245
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,45-54,2445,2446,NA,40992735
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,45-54,5400,5401,NA,40595371
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,55-64,5940,5942,NA,42795410
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,55-64,11027,11034,NA,42543029
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,65-74,10036,10039,NA,32371608
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,65-74,14037,14043,NA,33422673
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,75-84,9617,9620,NA,15971733
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,75-84,10830,10831,NA,16339316
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,85+,6636,6638,NA,6483182
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,85+,5518,5519,NA,6467137
By Year,2020,-1,United States,Sepsis,Sepsis,A40-A41,All Ages,35762,35774,NA,NA
By Year,2021,-1,United States,Sepsis,Sepsis,A40-A41,All Ages,50146,50167,NA,NA
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,40,45,NA,104606067
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,65,73,NA,103989602
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,62,71,NA,45552696
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,120,131,NA,45429181
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,206,228,NA,42738081
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,312,376,NA,43245245
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,600,705,NA,40992735
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,1073,1300,NA,40595371
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,2198,2513,NA,42795410
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,3515,4122,NA,42543029
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,4570,5135,NA,32371608
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,6724,7776,NA,33422673
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,5337,6003,NA,15971733
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,7012,7974,NA,16339316
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,4393,4841,NA,6483182
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,4518,5098,NA,6467137
By Year,2020,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,17406,19541,NA,NA
By Year,2021,-1,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,23339,26850,NA,NA
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,0-24,84,84,NA,104606067
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,0-24,144,146,NA,103989602
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,25-34,352,354,NA,45552696
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,25-34,672,680,NA,45429181
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,35-44,1258,1269,NA,42738081
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,35-44,2300,2333,NA,43245245
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,45-54,3895,3915,NA,40992735
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,45-54,6291,6336,NA,40595371
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,55-64,9863,9925,NA,42795410
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,55-64,13297,13394,NA,42543029
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,65-74,16910,17004,NA,32371608
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,65-74,19084,19209,NA,33422673
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,75-84,17496,17576,NA,15971733
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,75-84,16301,16423,NA,16339316
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,85+,12751,12795,NA,6483182
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,85+,9068,9126,NA,6467137
By Year,2020,-1,United States,Diabetes,Diabetes,E10-E14,All Ages,62611,62924,NA,NA
By Year,2021,-1,United States,Diabetes,Diabetes,E10-E14,All Ages,67157,67647,NA,NA
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,0-24,167,167,NA,104606067
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,0-24,441,442,NA,103989602
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,25-34,633,638,NA,45552696
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,25-34,1737,1742,NA,45429181
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,35-44,1377,1385,NA,42738081
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,35-44,3566,3580,NA,43245245
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,45-54,2488,2493,NA,40992735
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,45-54,5750,5762,NA,40595371
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,55-64,3750,3760,NA,42795410
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,55-64,7351,7365,NA,42543029
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,65-74,3910,3923,NA,32371608
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,65-74,6011,6021,NA,33422673
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,75-84,2176,2182,NA,15971733
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,75-84,2565,2572,NA,16339316
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,85+,590,590,NA,6483182
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,85+,528,528,NA,6467137
By Year,2020,-1,United States,Obesity,Obesity,E65-E68,All Ages,15092,15139,NA,NA
By Year,2021,-1,United States,Obesity,Obesity,E65-E68,All Ages,27950,28013,NA,NA
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,NA,104606067
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,NA,103989602
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,NA,45552696
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,25-34,1,1,NA,45429181
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,35-44,3,3,NA,42738081
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,35-44,0,0,NA,43245245
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,45-54,9,9,NA,40992735
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,45-54,18,18,NA,40595371
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,55-64,132,132,NA,42795410
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,55-64,80,80,NA,42543029
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,65-74,998,998,NA,32371608
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,65-74,638,639,NA,33422673
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,75-84,4444,4447,NA,15971733
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,75-84,2795,2801,NA,16339316
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,85+,9917,9938,NA,6483182
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,85+,5798,5820,NA,6467137
By Year,2020,-1,United States,Alzheimer disease,Alzheimer disease,G30,All Ages,15503,15527,NA,NA
By Year,2021,-1,United States,Alzheimer disease,Alzheimer disease,G30,All Ages,9330,9359,NA,NA
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,NA,104606067
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,NA,103989602
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,1,NA,45552696
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,1,NA,45429181
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,4,4,NA,42738081
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,6,6,NA,43245245
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,44,44,NA,40992735
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,25,25,NA,40595371
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,563,563,NA,42795410
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,326,327,NA,42543029
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,3695,3705,NA,32371608
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2074,2077,NA,33422673
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,12630,12645,NA,15971733
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,7462,7484,NA,16339316
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,25760,25785,NA,6483182
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,14317,14351,NA,6467137
By Year,2020,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,42699,42749,NA,NA
By Year,2021,-1,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,24211,24271,NA,NA
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,0-24,42,43,NA,104606067
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,0-24,149,151,NA,103989602
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,25-34,227,238,NA,45552696
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,25-34,697,709,NA,45429181
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,35-44,672,686,NA,42738081
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,35-44,1952,1998,NA,43245245
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,45-54,2010,2067,NA,40992735
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,45-54,5140,5285,NA,40595371
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,55-64,4945,5104,NA,42795410
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,55-64,10604,10996,NA,42543029
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,65-74,8993,9356,NA,32371608
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,65-74,14755,15531,NA,33422673
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,75-84,9927,10414,NA,15971733
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,75-84,13189,13970,NA,16339316
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,85+,8806,9230,NA,6483182
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,85+,9075,9682,NA,6467137
By Year,2020,-1,United States,Renal failure,Renal failure,N17-N19,All Ages,35624,37141,NA,NA
By Year,2021,-1,United States,Renal failure,Renal failure,N17-N19,All Ages,55561,58322,NA,NA
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,62,174,NA,104606067
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,146,385,NA,103989602
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,164,438,NA,45552696
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,325,868,NA,45429181
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,210,546,NA,42738081
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,640,1405,NA,43245245
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,360,797,NA,40992735
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,1097,2135,NA,40595371
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,775,1572,NA,42795410
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,1959,3424,NA,42543029
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1250,2443,NA,32371608
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,2687,4374,NA,33422673
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1658,3296,NA,15971733
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,2634,4619,NA,16339316
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,2196,4598,NA,6483182
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,2567,5017,NA,6467137
By Year,2020,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,6676,13866,NA,NA
By Year,2021,-1,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,12057,22231,NA,NA
By Year,2020,-1,United States,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,382,649,NA,104606067
By Year,2021,-1,United States,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,1076,1945,NA,103989602
